text,label,token_count,text_length
"['didnt', 'feel', 'humiliated']",sadness,4,23
"['can', 'go', 'from', 'feeling', 'so', 'hopeless', 'to', 'so', 'damned', 'hopeful', 'just', 'from', 'being', 'around', 'someone', 'who', 'cares', 'and', 'is', 'awake']",sadness,21,108
"['im', 'grabbing', 'minute', 'to', 'post', 'feel', 'greedy', 'wrong']",anger,10,48
"['am', 'ever', 'feeling', 'nostalgic', 'about', 'the', 'fireplace', 'will', 'know', 'that', 'it', 'is', 'still', 'on', 'the', 'property']",love,18,92
"['am', 'feeling', 'grouchy']",anger,4,20
"['ive', 'been', 'feeling', 'little', 'burdened', 'lately', 'wasnt', 'sure', 'why', 'that', 'was']",sadness,12,65
"['ive', 'been', 'taking', 'or', 'milligrams', 'or', 'times', 'recommended', 'amount', 'and', 'ive', 'fallen', 'asleep', 'lot', 'faster', 'but', 'also', 'feel', 'like', 'so', 'funny']",surprise,23,122
"['feel', 'as', 'confused', 'about', 'life', 'as', 'teenager', 'or', 'as', 'jaded', 'as', 'year', 'old', 'man']",fear,17,73
"['have', 'been', 'with', 'petronas', 'for', 'years', 'feel', 'that', 'petronas', 'has', 'performed', 'well', 'and', 'made', 'huge', 'profit']",joy,19,98
"['feel', 'romantic', 'too']",love,4,19
"['feel', 'like', 'have', 'to', 'make', 'the', 'suffering', 'seeing', 'mean', 'something']",sadness,14,66
"['do', 'feel', 'that', 'running', 'is', 'divine', 'experience', 'and', 'that', 'can', 'expect', 'to', 'have', 'some', 'type', 'of', 'spiritual', 'encounter']",joy,21,108
"['think', 'it', 'the', 'easiest', 'time', 'of', 'year', 'to', 'feel', 'dissatisfied']",anger,12,58
"['feel', 'low', 'energy', 'just', 'thirsty']",sadness,8,34
"['have', 'immense', 'sympathy', 'with', 'the', 'general', 'point', 'but', 'as', 'possible', 'proto', 'writer', 'trying', 'to', 'find', 'time', 'to', 'write', 'in', 'the', 'corners', 'of', 'life', 'and', 'with', 'no', 'sign', 'of', 'an', 'agent', 'let', 'alone', 'publishing', 'contract', 'this', 'feels', 'little', 'precious']",joy,42,219
"['do', 'not', 'feel', 'reassured', 'anxiety', 'is', 'on', 'each', 'side']",joy,10,47
"['didnt', 'really', 'feel', 'that', 'embarrassed']",sadness,6,36
"['feel', 'pretty', 'pathetic', 'most', 'of', 'the', 'time']",sadness,8,39
"['started', 'feeling', 'sentimental', 'about', 'dolls', 'had', 'as', 'child', 'and', 'so', 'began', 'collection', 'of', 'vintage', 'barbie', 'dolls', 'from', 'the', 'sixties']",sadness,23,125
"['now', 'feel', 'compromised', 'and', 'skeptical', 'of', 'the', 'value', 'of', 'every', 'unit', 'of', 'work', 'put', 'in']",fear,17,80
"['feel', 'irritated', 'and', 'rejected', 'without', 'anyone', 'doing', 'anything', 'or', 'saying', 'anything']",anger,12,78
"['am', 'feeling', 'completely', 'overwhelmed', 'have', 'two', 'strategies', 'that', 'help', 'me', 'to', 'feel', 'grounded', 'pour', 'my', 'heart', 'out', 'in', 'my', 'journal', 'in', 'the', 'form', 'of', 'letter', 'to', 'god', 'and', 'then', 'end', 'with', 'list', 'of', 'five', 'things', 'am', 'most', 'grateful', 'for']",fear,44,213
"['have', 'the', 'feeling', 'she', 'was', 'amused', 'and', 'delighted']",joy,9,47
"['was', 'able', 'to', 'help', 'chai', 'lifeline', 'with', 'your', 'support', 'and', 'encouragement', 'is', 'great', 'feeling', 'and', 'am', 'so', 'glad', 'you', 'were', 'able', 'to', 'help', 'me']",joy,27,129
"['already', 'feel', 'like', 'fucked', 'up', 'though', 'because', 'dont', 'usually', 'eat', 'at', 'all', 'in', 'the', 'morning']",anger,18,87
"['still', 'love', 'my', 'so', 'and', 'wish', 'the', 'best', 'for', 'him', 'can', 'no', 'longer', 'tolerate', 'the', 'effect', 'that', 'bm', 'has', 'on', 'our', 'lives', 'and', 'the', 'fact', 'that', 'is', 'has', 'turned', 'my', 'so', 'into', 'bitter', 'angry', 'person', 'who', 'is', 'not', 'always', 'particularly', 'kind', 'to', 'the', 'people', 'around', 'him', 'when', 'he', 'is', 'feeling', 'stressed']",sadness,54,259
"['feel', 'so', 'inhibited', 'in', 'someone', 'elses', 'kitchen', 'like', 'im', 'painting', 'on', 'someone', 'elses', 'picture']",sadness,15,86
"['become', 'overwhelmed', 'and', 'feel', 'defeated']",sadness,6,38
"['feel', 'kinda', 'appalled', 'that', 'she', 'feels', 'like', 'she', 'needs', 'to', 'explain', 'in', 'wide', 'and', 'lenghth', 'her', 'body', 'measures', 'etc', 'pp']",anger,21,107
"['feel', 'more', 'superior', 'dead', 'chicken', 'or', 'grieving', 'child']",joy,9,51
"['get', 'giddy', 'over', 'feeling', 'elegant', 'in', 'perfectly', 'fitted', 'pencil', 'skirt']",joy,12,67
"['remember', 'feeling', 'acutely', 'distressed', 'for', 'few', 'days']",fear,9,52
"['have', 'seen', 'heard', 'and', 'read', 'over', 'the', 'past', 'couple', 'of', 'days', 'am', 'left', 'feeling', 'impressed', 'by', 'more', 'than', 'few', 'companies']",surprise,23,112
"['climbed', 'the', 'hill', 'feeling', 'frustrated', 'that', 'id', 'pretty', 'much', 'paced', 'entirely', 'wrong', 'for', 'this', 'course', 'and', 'that', 'factor', 'that', 'has', 'never', 'ever', 'hampered', 'me', 'had', 'made', 'such', 'dent', 'in', 'the', 'day']",anger,34,176
"['can', 'imagine', 'real', 'life', 'scenario', 'where', 'would', 'be', 'emotionally', 'connected', 'enough', 'with', 'someone', 'to', 'feel', 'totally', 'accepted', 'and', 'safe', 'where', 'it', 'it', 'morally', 'acceptable', 'for', 'me', 'to', 'have', 'close', 'and', 'prolonged', 'physical', 'contact', 'and', 'where', 'sex', 'won', 'be', 'expected', 'subsequently']",joy,45,257
"['am', 'not', 'sure', 'what', 'would', 'make', 'me', 'feel', 'content', 'if', 'anything']",joy,12,57
"['have', 'been', 'feeling', 'the', 'need', 'to', 'be', 'creative']",joy,9,43
